ID_MAN_CO;ISIN_CODE;FUND_NUMBER;FUND_NAME;FUND_CCY;SHARECLASS_CODE;SHARECLASS_NAME;SHARECLASS_CCY;FREQUENCY_CALCULATION;DATE_NAV;TNA_FUND;QTY_SHARECLASS;PRICE_SHARECLASS_CCY;TNA_SHARECLASS;PRICE_FUND_CCY;TER;GROSS_PERFORMANCE;NET_PERFORMANCE;Reporting Period
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;JOURNALIER;31/12/2020;100964900.683022;47118.89;125.73;5924368.97;147.770469;2.638587;3.524084;19.889222;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;JOURNALIER;31/01/2021;103056313.755958;49395.26;122.74;6062708.5;144.256322;2.6273;-2.378112;-2.680938;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;JOURNALIER;26/02/2021;107770449.54466;50839.86;123.08;6257456.65;144.655924;2.6273;.277008;.277008;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;JOURNALIER;31/03/2021;115145510.675369;52072.94;125.82;6551602.24;147.876246;2.615871;2.226194;2.226194;31/03/2021
343;LU1787061529;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;I EUR;EUR;JOURNALIER;31/12/2020;100964900.683022;118975.55;125.88;14976188.81;147.946764;1.850034;3.587887;23.542802;31/03/2021
343;LU1787061529;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;I EUR;EUR;JOURNALIER;31/01/2021;103056313.755958;131766.73;122.96;16202251.48;144.514888;1.819476;-2.31967;-3.366996;31/03/2021
343;LU1787061529;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;I EUR;EUR;JOURNALIER;26/02/2021;107770449.54466;142416.37;123.37;17570578.55;144.996761;1.819476;.333442;.333442;31/03/2021
343;LU1787061529;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;I EUR;EUR;JOURNALIER;31/03/2021;115145510.675369;158017.22;126.21;19942609.58;148.334613;1.789833;2.302018;2.302018;31/03/2021
343;LU1787059036;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;A1 USD;USD;JOURNALIER;31/12/2020;100964900.683022;11894.2;128.6;1529583.13;128.6;2.820235;3.701314;28.262594;31/03/2021
343;LU1787059036;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;A1 USD;USD;JOURNALIER;31/01/2021;103056313.755958;12671.92;125.65;1592178.75;125.65;2.805646;-2.293935;-2.667062;31/03/2021
343;LU1787059036;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;A1 USD;USD;JOURNALIER;26/02/2021;107770449.54466;17881.92;126.05;2253950.73;126.05;2.805646;.318345;.318345;31/03/2021
343;LU1787059036;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;A1 USD;USD;JOURNALIER;31/03/2021;115145510.675369;27835.79;129.02;3591420.28;129.02;2.785136;2.356208;2.356208;31/03/2021
343;LU1787061107;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;I USD;USD;JOURNALIER;31/12/2020;100964900.683022;209830.56;133.47;28005844.68;133.47;2.102254;3.76273;39.474494;31/03/2021
343;LU1787061107;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;I USD;USD;JOURNALIER;31/01/2021;103056313.755958;213396.8;130.49;27846650.08;130.49;2.08123;-2.232711;-2.895281;31/03/2021
343;LU1787061107;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;I USD;USD;JOURNALIER;26/02/2021;107770449.54466;220659.23;130.98;28902224.44;130.98;2.08123;.375508;.375508;31/03/2021
343;LU1787061107;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;I USD;USD;JOURNALIER;31/03/2021;115145510.675369;219821.98;134.17;29493345.31;134.17;2.063342;2.435486;2.435486;31/03/2021
343;LU1787061362;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;I CHF H P;CHF;JOURNALIER;31/12/2020;100964900.683022;102134.04;125.83;12851617.87;133.69815;1.887448;3.563786;26.462735;31/03/2021
343;LU1787061362;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;I CHF H P;CHF;JOURNALIER;31/01/2021;103056313.755958;107925.04;122.9;13264076.34;130.584937;1.864902;-2.328539;-3.091185;31/03/2021
343;LU1787061362;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;I CHF H P;CHF;JOURNALIER;26/02/2021;107770449.54466;112310.23;123.28;13845163.46;130.988698;1.864902;.309194;.309194;31/03/2021
343;LU1787061362;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;I CHF H P;CHF;JOURNALIER;31/03/2021;115145510.675369;115019.23;126.06;14499493.67;133.942532;1.847537;2.255029;2.255029;31/03/2021
343;LU1787060471;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;R USD H P;USD;JOURNALIER;31/12/2020;100964900.683022;255807.5;129.82;33209810.28;129.82;2.337161;3.748102;38.472256;31/03/2021
343;LU1787060471;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;R USD H P;USD;JOURNALIER;31/01/2021;103056313.755958;262836.15;126.91;33355990.39;126.91;2.33535;-2.241565;-2.294616;31/03/2021
343;LU1787060471;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;R USD H P;USD;JOURNALIER;26/02/2021;107770449.54466;266148.38;127.37;33898274.43;127.37;2.33535;.362462;.362462;31/03/2021
343;LU1787060471;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;R USD H P;USD;JOURNALIER;31/03/2021;115145510.675369;272272.09;130.44;35515941.21;130.44;2.335969;2.410301;2.410301;31/03/2021
