ID_MAN_CO;REGISTER_NUMBER;REGISTER_TITLE;AIFMD_CLASSIFICATION;INVESTOR_COUNTRY;INVESTOR_TAX_RESIDENCE;FA_NUMBER;FUND_NAME;FUND_CCY;SHARE_CLASS_CODE;SHARE_CLASS_CCY;ISIN_CODE;QUANTITY;PRICE_PER_SHARE;AMOUNT_SC_CCY;COURS_CHANGE;CLASSIF_TA_RKS;Reporting Period
343;16464;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;337;126.061474;42482.716732;.90405;BANK;31/03/2021
343;903;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;11379;126.061474;1434453.512434;.90405;BANK;31/03/2021
343;4844;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;2610;126.061474;329020.447091;.90405;BANK;31/03/2021
343;76;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;6265;126.061474;789775.134493;.90405;BANK;31/03/2021
343;7030;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;184.19;126.061474;23219.262893;.90405;BANK;31/03/2021
343;1165;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;270;126.061474;34036.597975;.90405;BANK;31/03/2021
343;1769;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;88167.73;126.061474;11114554.00139;.90405;BANK;31/03/2021
343;8908;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;80;125.81587;10065.269585;1;BANK;31/03/2021
343;8908;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;7820;126.205293;986925.392787;1;BANK;31/03/2021
343;15168;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;2375;126.205293;299737.571339;1;BANK;31/03/2021
343;9997;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;32.8;125.81587;4126.76053;1;BANK;31/03/2021
343;4;SUBSIDIARY BRANCH OF A RFI;Client de contrepartie éligible;BELGIUM;BELGIUM;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;10320;125.81587;1298419.776506;1;OFIN;31/03/2021
343;15173;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;6350;126.205293;801403.61179;1;BANK;31/03/2021
343;11878;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;61;126.205293;7698.522885;1;BANK;31/03/2021
343;14848;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;994.45;125.81587;125117.591739;1;BANK;31/03/2021
343;16464;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;48;125.81587;6039.161751;1;BANK;31/03/2021
343;17017;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWEDEN;SWEDEN;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;310;125.81587;39002.919643;1;;31/03/2021
343;12590;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;70.43;125.81587;8861.211711;1;BANK;31/03/2021
343;903;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;171;125.81587;21514.513739;1;BANK;31/03/2021
343;1769;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;15748.4;125.81587;1981398.644217;1;BANK;31/03/2021
343;4;SUBSIDIARY BRANCH OF A RFI;Client de contrepartie éligible;BELGIUM;BELGIUM;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;3355;126.061474;422936.245207;.90405;OFIN;31/03/2021
343;385;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWEDEN;SWEDEN;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;2451.31;126.061474;309015.751785;.90405;OFIN;31/03/2021
343;4844;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;2050;126.205293;258720.85105;1;BANK;31/03/2021
343;4024;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;14676.88;126.205293;1852299.943592;1;OFIN;31/03/2021
343;76;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;33057;126.205293;4171968.377156;1;BANK;31/03/2021
343;903;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;230;126.205293;29027.217435;1;BANK;31/03/2021
343;15058;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;23590.6;126.205293;2977258.589652;1;BANK;31/03/2021
343;5828;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;4041.53;126.205293;510062.478607;1;BANK;31/03/2021
343;14766;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;1175.91;126.205293;148406.066321;1;BANK;31/03/2021
343;15917;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;143.13;125.81587;18008.025447;1;BANK;31/03/2021
343;385;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWEDEN;SWEDEN;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;10707.72;126.205293;1351370.942053;1;OFIN;31/03/2021
343;16427;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;2302.26;125.81587;289660.844444;1;OFIN;31/03/2021
343;15168;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;2280;125.81587;286860.183182;1;BANK;31/03/2021
343;1769;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;25651.62;126.205293;3237370.223033;1;BANK;31/03/2021
343;4;SUBSIDIARY BRANCH OF A RFI;Client de contrepartie éligible;BELGIUM;BELGIUM;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;21846.32;126.205293;2757121.220837;1;OFIN;31/03/2021
343;4876;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;250;125.81587;31453.967454;1;BANK;31/03/2021
343;16266;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;9167.22;125.81587;1153381.758099;1;BANK;31/03/2021
343;76;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;6059.14;125.81587;762335.96944;1;BANK;31/03/2021
343;7030;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;370.61;126.205293;46772.943711;1;BANK;31/03/2021
343;5190;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;1187;125.81587;149343.437472;1;BANK;31/03/2021
343;1428;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;1660;125.81587;208854.343895;1;BANK;31/03/2021
343;1358;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;1201;125.81587;151104.85965;1;BANK;31/03/2021
343;1358;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;723;126.205293;91246.42698;1;BANK;31/03/2021
343;15058;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;48.11;125.81587;6053.001497;1;BANK;31/03/2021
343;11306;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;1730;126.205293;218335.157228;1;BANK;31/03/2021
343;8908;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;2500;134.169228;335423.069499;.850846;BANK;31/03/2021
343;4876;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;119;130.442827;15522.696447;.850846;BANK;31/03/2021
343;385;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWEDEN;SWEDEN;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;19743.47;134.169228;2648966.123986;.850846;OFIN;31/03/2021
343;7030;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;21960;134.169228;2946356.242481;.850846;BANK;31/03/2021
343;4;SUBSIDIARY BRANCH OF A RFI;Client de contrepartie éligible;BELGIUM;BELGIUM;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;USD;LU1787059036;4250;129.021676;548342.123216;.850846;OFIN;31/03/2021
343;14766;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;14345.66;130.442827;1871288.449648;.850846;BANK;31/03/2021
343;915;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;190;134.169228;25492.153282;.850846;BANK;31/03/2021
343;16965;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWEDEN;SWEDEN;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;200;134.169228;26833.84556;.850846;OFIN;31/03/2021
343;3157;REGULATED FINANCIAL INSTITUTION;Client professionnel;SPAIN;SPAIN;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;5500;130.442827;717435.55006;.850846;BANK;31/03/2021
343;76;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;57093.07;130.442827;7447381.469097;.850846;BANK;31/03/2021
343;4;SUBSIDIARY BRANCH OF A RFI;Client de contrepartie éligible;BELGIUM;BELGIUM;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;1856;130.442827;242101.887438;.850846;OFIN;31/03/2021
343;15058;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;20004.24;130.442827;2609409.623259;.850846;BANK;31/03/2021
343;7048;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;1423.73;130.442827;185715.366488;.850846;BANK;31/03/2021
343;4199;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;3827.28;130.442827;499241.224006;.850846;BANK;31/03/2021
343;13411;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWEDEN;SWEDEN;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;11735.56;130.442827;1530819.626156;.850846;OFIN;31/03/2021
343;76;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;USD;LU1787059036;2100;129.021676;270945.519707;.850846;BANK;31/03/2021
343;903;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;USD;LU1787059036;260;129.021676;33545.635773;.850846;BANK;31/03/2021
343;903;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;52769;130.442827;6883337.552925;.850846;BANK;31/03/2021
343;1428;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;600;130.442827;78265.69637;.850846;BANK;31/03/2021
343;4024;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;2498.18;130.442827;325869.662263;.850846;OFIN;31/03/2021
343;903;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;9450;134.169228;1267899.202707;.850846;BANK;31/03/2021
343;35;REGULATED FINANCIAL INSTITUTION;Client professionnel;AUSTRIA;AUSTRIA;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;35770;134.169228;4799233.278395;.850846;BANK;31/03/2021
343;1482;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;60;134.169228;8050.153668;.850846;BANK;31/03/2021
343;1769;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;49765.56;134.169228;6677006.756219;.850846;BANK;31/03/2021
343;3331;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;USD;LU1787059036;1926.04;129.021676;248500.908941;.850846;BANK;31/03/2021
343;1769;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;USD;LU1787059036;18655.83;129.021676;2407006.45472;.850846;BANK;31/03/2021
343;4844;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;4400;134.169228;590344.602319;.850846;BANK;31/03/2021
343;4;SUBSIDIARY BRANCH OF A RFI;Client de contrepartie éligible;BELGIUM;BELGIUM;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;5200;134.169228;697679.984558;.850846;OFIN;31/03/2021
343;16529;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;21000;134.169228;2817553.783794;.850846;BANK;31/03/2021
343;6379;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1U;USD;LU1787059036;643.92;129.021676;83079.637643;.850846;BANK;31/03/2021
343;17610;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;310;134.169228;41592.460618;.850846;BANK;31/03/2021
343;6079;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;13201.48;134.169228;1771232.377413;.850846;BANK;31/03/2021
343;5553;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;3338.65;130.442827;435502.94531;.850846;BANK;31/03/2021
343;76;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;31703.98;134.169228;4253698.514777;.850846;BANK;31/03/2021
343;3331;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;672.49;134.169228;90227.464003;.850846;BANK;31/03/2021
343;1769;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;92747.05;130.442827;12098187.424208;.850846;BANK;31/03/2021
343;20;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;I;USD;LU1787061107;625;134.169228;83855.767375;.850846;BANK;31/03/2021
343;7377;REGULATED FINANCIAL INSTITUTION;Client professionnel;ITALY;ITALY;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;R;USD;LU1787060471;4199.67;130.442827;547816.828458;.850846;BANK;31/03/2021
